Energy (MeV),Na-22 Counts,Na-22 Relative Error,Co-60 Counts,Co-60 Relative Error,Cs-137 Counts,Cs-137 Relative Error
0.69792,1.45913e-05,0.0828,4.89999e-05,0.0452,0.0004522,0.0149
0.69987,1.48911e-05,0.0819,5.57999e-05,0.0423,0.0003027,0.0182
0.70182,1.48911e-05,0.0819,5.07999e-05,0.0444,0.0001907,0.0229
0.70377,1.53908e-05,0.0806,5.31999e-05,0.0434,0.0001221,0.0286
0.70573,1.71897e-05,0.0762,5.08999e-05,0.0443,7.87e-05,0.0356
0.70768,1.64902e-05,0.0778,5.66999e-05,0.042,4.66e-05,0.0463
0.70963,1.8389e-05,0.0737,5.41999e-05,0.043,2.88e-05,0.0589
0.71158,1.63902e-05,0.0781,5.60999e-05,0.0422,1.83e-05,0.0739
0.71353,1.5091e-05,0.0814,5.60999e-05,0.0422,8.8e-06,0.1066
0.71549,1.62903e-05,0.0783,5.88999e-05,0.0412,6.3e-06,0.126
0.71744,1.65901e-05,0.0776,5.52999e-05,0.0425,2.9e-06,0.1857
0.71939,1.92885e-05,0.072,5.78999e-05,0.0416,1e-06,0.3162
0.72134,1.76894e-05,0.0752,6.20999e-05,0.0401,1e-06,0.3162
0.72329,1.75895e-05,0.0754,6.04999e-05,0.0407,4e-07,0.5
0.72525,1.86888e-05,0.0731,5.87999e-05,0.0412,2e-07,0.7071
0.7272,1.81891e-05,0.0741,6.37999e-05,0.0396,0.0,0.0
0.72915,2.03878e-05,0.07,6.15999e-05,0.0403,2e-07,0.7071
0.7311,2.0188e-05,0.0704,6.19999e-05,0.0402,0.0,0.0
0.73306,1.62903e-05,0.0783,6.21999e-05,0.0401,0.0,0.0
0.73501,2.13872e-05,0.0684,6.26999e-05,0.0399,0.0,0.0
0.73696,1.79893e-05,0.0745,6.51999e-05,0.0392,0.0,0.0
0.73891,1.90886e-05,0.0724,6.12999e-05,0.0404,0.0,0.0
0.74086,1.98881e-05,0.0709,6.69999e-05,0.0386,0.0,0.0
0.74282,2.16871e-05,0.0679,6.90999e-05,0.038,0.0,0.0
0.74477,2.10874e-05,0.0688,6.38999e-05,0.0396,0.0,0.0
0.74672,2.13872e-05,0.0684,6.64999e-05,0.0388,0.0,0.0
0.74867,2.40856e-05,0.0644,6.94999e-05,0.0379,0.0,0.0
0.75063,2.28863e-05,0.0661,6.34999e-05,0.0397,0.0,0.0
0.75258,2.70838e-05,0.0607,6.77999e-05,0.0384,0.0,0.0
0.75453,2.6884e-05,0.061,7.30999e-05,0.037,0.0,0.0
0.75648,2.62843e-05,0.0617,7.28999e-05,0.037,0.0,0.0
0.75843,2.92825e-05,0.0584,6.81999e-05,0.0383,0.0,0.0
0.76039,2.96823e-05,0.058,7.07999e-05,0.0376,0.0,0.0
0.76234,2.85829e-05,0.0591,6.61999e-05,0.0389,0.0,0.0
0.76429,2.87828e-05,0.0589,7.34999e-05,0.0369,0.0,0.0
0.76624,2.70838e-05,0.0607,7.39999e-05,0.0368,0.0,0.0
0.76819,2.92825e-05,0.0584,7.90999e-05,0.0356,0.0,0.0
0.77015,2.8483e-05,0.0592,7.68999e-05,0.0361,0.0,0.0
0.7721,2.89827e-05,0.0587,7.66999e-05,0.0361,0.0,0.0
0.77405,3.03819e-05,0.0574,7.91999e-05,0.0355,0.0,0.0
0.776,2.90826e-05,0.0586,7.89999e-05,0.0356,0.0,0.0
0.77796,3.04818e-05,0.0573,8.09999e-05,0.0351,0.0,0.0
0.77991,2.81832e-05,0.0595,7.76999e-05,0.0359,0.0,0.0
0.78186,2.63843e-05,0.0615,8.46999e-05,0.0344,0.0,0.0
0.78381,2.48851e-05,0.0634,8.48999e-05,0.0343,0.0,0.0
0.78576,2.47852e-05,0.0635,7.73999e-05,0.0359,0.0,0.0
0.78772,2.36859e-05,0.065,8.24999e-05,0.0348,0.0,0.0
0.78967,2.70838e-05,0.0607,8.37999e-05,0.0345,0.0,0.0
0.79162,2.5085e-05,0.0631,8.55999e-05,0.0342,0.0,0.0
0.79357,2.56847e-05,0.0624,8.92999e-05,0.0335,0.0,0.0
0.79552,2.47852e-05,0.0635,8.65999e-05,0.034,0.0,0.0
0.79748,2.44854e-05,0.0639,9.27998e-05,0.0328,0.0,0.0
0.79943,2.85829e-05,0.0591,8.96999e-05,0.0334,0.0,0.0
0.80138,2.6784e-05,0.0611,9.17998e-05,0.033,0.0,0.0
0.80333,2.63843e-05,0.0615,9.74998e-05,0.032,0.0,0.0
0.80529,2.53849e-05,0.0627,9.97998e-05,0.0317,0.0,0.0
0.80724,2.66841e-05,0.0612,0.0001015,0.0314,0.0,0.0
0.80919,2.65841e-05,0.0613,0.0001045,0.0309,0.0,0.0
0.81114,2.66841e-05,0.0612,0.0001125,0.0298,0.0,0.0
0.81309,2.79833e-05,0.0598,0.0001071,0.0306,0.0,0.0
0.81505,3.03819e-05,0.0574,0.0001139,0.0296,0.0,0.0
0.817,2.96823e-05,0.058,0.0001141,0.0296,0.0,0.0
0.81895,2.88828e-05,0.0588,0.0001165,0.0293,0.0,0.0
0.8209,3.31802e-05,0.0549,0.0001173,0.0292,0.0,0.0
0.82285,2.74836e-05,0.0603,0.0001145,0.0296,0.0,0.0
0.82481,2.57846e-05,0.0623,0.0001177,0.0291,0.0,0.0
0.82676,3.21808e-05,0.0557,0.0001129,0.0298,0.0,0.0
0.82871,3.36799e-05,0.0545,0.0001188,0.029,0.0,0.0
0.83066,3.348e-05,0.0546,0.000119,0.029,0.0,0.0
0.83262,2.99821e-05,0.0577,0.0001172,0.0292,0.0,0.0
0.83457,3.09815e-05,0.0568,0.0001214,0.0287,0.0,0.0
0.83652,3.0082e-05,0.0576,0.0001167,0.0293,0.0,0.0
0.83847,3.13813e-05,0.0564,0.0001176,0.0292,0.0,0.0
0.84042,3.03819e-05,0.0574,0.0001163,0.0293,0.0,0.0
0.84238,3.37798e-05,0.0544,0.0001214,0.0287,0.0,0.0
0.84433,3.31802e-05,0.0549,0.0001096,0.0302,0.0,0.0
0.84628,3.13813e-05,0.0564,0.0001244,0.0284,0.0,0.0
0.84823,3.70779e-05,0.0519,0.0001213,0.0287,0.0,0.0
0.85018,2.97822e-05,0.0579,0.0001285,0.0279,0.0,0.0
0.85214,3.99761e-05,0.05,0.000122,0.0286,0.0,0.0
0.85409,3.16811e-05,0.0562,0.0001182,0.0291,0.0,0.0
0.85604,3.59785e-05,0.0527,0.0001242,0.0284,0.0,0.0
0.85799,3.52789e-05,0.0532,0.0001208,0.0288,0.0,0.0
0.85995,3.64782e-05,0.0523,0.0001257,0.0282,0.0,0.0
0.8619,3.37798e-05,0.0544,0.0001234,0.0285,0.0,0.0
0.86385,3.46793e-05,0.0537,0.0001243,0.0284,0.0,0.0
0.8658,3.47792e-05,0.0536,0.0001371,0.027,0.0,0.0
0.86775,4.00761e-05,0.0499,0.0001337,0.0273,0.0,0.0
0.86971,3.87769e-05,0.0508,0.0001327,0.0274,0.0,0.0
0.87166,4.05758e-05,0.0496,0.000134,0.0273,0.0,0.0
0.87361,4.04758e-05,0.0497,0.0001375,0.027,0.0,0.0
0.87556,4.11754e-05,0.0493,0.0001362,0.0271,0.0,0.0
0.87751,3.82772e-05,0.0511,0.0001452,0.0262,0.0,0.0
0.87947,4.11754e-05,0.0493,0.0001443,0.0263,0.0,0.0
0.88142,4.28744e-05,0.0483,0.0001409,0.0266,0.0,0.0
0.88337,4.00761e-05,0.0499,0.0001489,0.0259,0.0,0.0
0.88532,4.63723e-05,0.0464,0.0001457,0.0262,0.0,0.0
0.88728,4.04758e-05,0.0497,0.0001473,0.0261,0.0,0.0
0.88923,4.17751e-05,0.0489,0.000147,0.0261,0.0,0.0
0.89118,4.53729e-05,0.0469,0.0001483,0.026,0.0,0.0
0.89313,4.3574e-05,0.0479,0.0001464,0.0261,0.0,0.0
0.89508,4.17751e-05,0.0489,0.0001626,0.0248,0.0,0.0
0.89704,3.82772e-05,0.0511,0.000155,0.0254,0.0,0.0
0.89899,4.67721e-05,0.0462,0.0001646,0.0246,0.0,0.0
0.90094,4.5273e-05,0.047,0.0001619,0.0249,0.0,0.0
0.90289,4.16751e-05,0.049,0.00016,0.025,0.0,0.0
0.90484,4.28744e-05,0.0483,0.0001616,0.0249,0.0,0.0
0.9068,4.64723e-05,0.0464,0.0001674,0.0244,0.0,0.0
0.90875,4.31742e-05,0.0481,0.0001592,0.0251,0.0,0.0
0.9107,4.48732e-05,0.0472,0.0001605,0.025,0.0,0.0
0.91265,4.72718e-05,0.046,0.0001709,0.0242,0.0,0.0
0.91461,4.94705e-05,0.0449,0.0001664,0.0245,0.0,0.0
0.91656,4.84711e-05,0.0454,0.0001803,0.0235,0.0,0.0
0.91851,4.65722e-05,0.0463,0.0001861,0.0232,0.0,0.0
0.92046,5.1969e-05,0.0439,0.0001877,0.0231,0.0,0.0
0.92241,5.13693e-05,0.0441,0.0001782,0.0237,0.0,0.0
0.92437,5.027e-05,0.0446,0.000191,0.0229,0.0,0.0
0.92632,5.1869e-05,0.0439,0.0001817,0.0235,0.0,0.0
0.92827,5.46674e-05,0.0428,0.0001891,0.023,0.0,0.0
0.93022,5.15692e-05,0.044,0.0001918,0.0228,0.0,0.0
0.93217,5.3568e-05,0.0432,0.0001866,0.0231,0.0,0.0
0.93413,5.03699e-05,0.0445,0.0001886,0.023,0.0,0.0
0.93608,5.77655e-05,0.0416,0.0001898,0.023,0.0,0.0
0.93803,5.33682e-05,0.0433,0.0001931,0.0228,0.0,0.0
0.93998,5.63664e-05,0.0421,0.0001872,0.0231,0.0,0.0
0.94194,5.44675e-05,0.0428,0.0002018,0.0223,0.0,0.0
0.94389,5.90648e-05,0.0411,0.0001883,0.023,0.0,0.0
0.94584,5.41677e-05,0.043,0.0001953,0.0226,0.0,0.0
0.94779,5.25686e-05,0.0436,0.0001911,0.0229,0.0,0.0
0.94974,5.72658e-05,0.0418,0.0001875,0.0231,0.0,0.0
0.9517,5.5367e-05,0.0425,0.000179,0.0236,0.0,0.0
0.95365,5.60665e-05,0.0422,0.0001827,0.0234,0.0,0.0
0.9556,6.14633e-05,0.0403,0.0001822,0.0234,0.0,0.0
0.95755,5.84651e-05,0.0413,0.0001798,0.0236,0.0,0.0
0.9595,6.30624e-05,0.0398,0.0001791,0.0236,0.0,0.0
0.96146,6.14633e-05,0.0403,0.0001699,0.0243,0.0,0.0
0.96341,6.3762e-05,0.0396,0.000161,0.0249,0.0,0.0
0.96536,6.56608e-05,0.039,0.0001626,0.0248,0.0,0.0
0.96731,6.66602e-05,0.0387,0.0001591,0.0251,0.0,0.0
0.96927,6.83592e-05,0.0382,0.0001495,0.0259,0.0,0.0
0.97122,6.98583e-05,0.0378,0.000152,0.0256,0.0,0.0
0.97317,6.59606e-05,0.0389,0.0001443,0.0263,0.0,0.0
0.97512,6.8659e-05,0.0382,0.0001427,0.0265,0.0,0.0
0.97707,6.84591e-05,0.0382,0.0001292,0.0278,0.0,0.0
0.97903,6.80594e-05,0.0383,0.00013,0.0277,0.0,0.0
0.98098,7.21569e-05,0.0372,0.0001216,0.0287,0.0,0.0
0.98293,7.06578e-05,0.0376,0.0001239,0.0284,0.0,0.0
0.98488,7.45555e-05,0.0366,0.0001221,0.0286,0.0,0.0
0.98683,7.65543e-05,0.0361,0.0001183,0.0291,0.0,0.0
0.98879,7.06578e-05,0.0376,0.0001135,0.0297,0.0,0.0
0.99074,7.84532e-05,0.0357,0.0001145,0.0296,0.0,0.0
0.99269,7.77536e-05,0.0359,0.0001059,0.0307,0.0,0.0
0.99464,8.12515e-05,0.0351,0.0001106,0.0301,0.0,0.0
0.9966,7.80534e-05,0.0358,0.0001095,0.0302,0.0,0.0
0.99855,7.89529e-05,0.0356,0.0001035,0.0311,0.0,0.0
1.0005,8.14514e-05,0.035,0.0001125,0.0298,0.0,0.0
1.0025,7.67542e-05,0.0361,0.0001023,0.0313,0.0,0.0
1.0044,8.03521e-05,0.0353,0.0001031,0.0311,0.0,0.0
1.0064,7.97524e-05,0.0354,0.000101,0.0315,0.0,0.0
1.0083,8.12515e-05,0.0351,0.0001041,0.031,0.0,0.0
1.0103,8.74478e-05,0.0338,0.000102,0.0313,0.0,0.0
1.0122,8.42497e-05,0.0344,0.0001009,0.0315,0.0,0.0
1.0142,8.81474e-05,0.0337,0.0001073,0.0305,0.0,0.0
1.0161,9.06459e-05,0.0332,0.0001015,0.0314,0.0,0.0
1.0181,8.40498e-05,0.0345,0.0001011,0.0314,0.0,0.0
1.02,8.76477e-05,0.0338,9.96998e-05,0.0317,0.0,0.0
1.022,9.10457e-05,0.0331,0.000103,0.0312,0.0,0.0
1.0239,8.79475e-05,0.0337,0.0001055,0.0308,0.0,0.0
1.0259,8.61486e-05,0.0341,0.0001041,0.031,0.0,0.0
1.0278,9.41438e-05,0.0326,0.0001012,0.0314,0.0,0.0
1.0298,9.31444e-05,0.0328,0.0001079,0.0304,0.0,0.0
1.0317,9.48434e-05,0.0325,9.90998e-05,0.0318,0.0,0.0
1.0337,9.5543e-05,0.0323,0.0001065,0.0306,0.0,0.0
1.0356,9.17453e-05,0.033,0.0001023,0.0313,0.0,0.0
1.0376,9.63425e-05,0.0322,0.0001085,0.0304,0.0,0.0
1.0395,9.02461e-05,0.0333,0.0001066,0.0306,0.0,0.0
1.0415,9.63425e-05,0.0322,0.0001079,0.0304,0.0,0.0
1.0434,9.51432e-05,0.0324,0.0001027,0.0312,0.0,0.0
1.0454,9.06459e-05,0.0332,0.0001151,0.0295,0.0,0.0
1.0474,9.57429e-05,0.0323,0.0001069,0.0306,0.0,0.0
1.0493,8.86471e-05,0.0336,0.0001123,0.0298,0.0,0.0
1.0513,8.29505e-05,0.0347,0.0001127,0.0298,0.0,0.0
1.0532,8.56489e-05,0.0342,0.0001151,0.0295,0.0,0.0
1.0552,8.03521e-05,0.0353,0.0001105,0.0301,0.0,0.0
1.0571,8.63485e-05,0.034,0.000113,0.0297,0.0,0.0
1.0591,7.40558e-05,0.0367,0.000108,0.0304,0.0,0.0
1.061,6.8759e-05,0.0381,0.0001187,0.029,0.0,0.0
1.063,6.88589e-05,0.0381,0.0001187,0.029,0.0,0.0
1.0649,6.59606e-05,0.0389,0.0001173,0.0292,0.0,0.0
1.0669,6.16632e-05,0.0403,0.0001178,0.0291,0.0,0.0
1.0688,5.51671e-05,0.0426,0.0001273,0.028,0.0,0.0
1.0708,5.45674e-05,0.0428,0.0001172,0.0292,0.0,0.0
1.0727,4.80713e-05,0.0456,0.0001221,0.0286,0.0,0.0
1.0747,4.54729e-05,0.0469,0.0001181,0.0291,0.0,0.0
1.0766,4.54729e-05,0.0469,0.0001227,0.0285,0.0,0.0
1.0786,4.16751e-05,0.049,0.0001225,0.0286,0.0,0.0
1.0805,3.58786e-05,0.0528,0.000125,0.0283,0.0,0.0
1.0825,3.43795e-05,0.0539,0.0001236,0.0284,0.0,0.0
1.0844,3.45794e-05,0.0538,0.0001275,0.028,0.0,0.0
1.0864,3.23807e-05,0.0556,0.000134,0.0273,0.0,0.0
1.0883,3.07816e-05,0.057,0.0001296,0.0278,0.0,0.0
1.0903,2.69839e-05,0.0609,0.0001261,0.0282,0.0,0.0
1.0923,2.35859e-05,0.0651,0.0001284,0.0279,0.0,0.0
1.0942,2.79833e-05,0.0598,0.0001258,0.0282,0.0,0.0
1.0962,2.30862e-05,0.0658,0.0001337,0.0273,0.0,0.0
1.0981,2.08875e-05,0.0692,0.0001205,0.0288,0.0,0.0
1.1001,1.94884e-05,0.0716,0.0001376,0.027,0.0,0.0
1.102,1.8489e-05,0.0735,0.0001286,0.0279,0.0,0.0
1.104,1.79893e-05,0.0745,0.0001283,0.0279,0.0,0.0
1.1059,1.60904e-05,0.0788,0.0001169,0.0292,0.0,0.0
1.1079,1.669e-05,0.0774,0.0001176,0.0292,0.0,0.0
1.1098,1.43914e-05,0.0833,0.0001176,0.0292,0.0,0.0
1.1118,1.3392e-05,0.0864,0.0001132,0.0297,0.0,0.0
1.1137,1.18929e-05,0.0917,0.0001121,0.0299,0.0,0.0
1.1157,1.14931e-05,0.0932,0.0001013,0.0314,0.0,0.0
1.1176,1.11933e-05,0.0945,0.0001013,0.0314,0.0,0.0
1.1196,1.03938e-05,0.0981,9.72998e-05,0.0321,0.0,0.0
1.1215,1.29922e-05,0.0877,9.47998e-05,0.0325,0.0,0.0
1.1235,7.89529e-06,0.1125,9.39998e-05,0.0326,0.0,0.0
1.1254,8.19511e-06,0.1104,9.21998e-05,0.0329,0.0,0.0
1.1274,7.69541e-06,0.114,9.01999e-05,0.0333,0.0,0.0
1.1293,7.69541e-06,0.114,0.0001025,0.0312,0.0,0.0
1.1313,7.59547e-06,0.1147,0.0001176,0.0292,0.0,0.0
1.1332,5.39678e-06,0.1361,0.0001496,0.0259,0.0,0.0
1.1352,5.59666e-06,0.1336,0.0001886,0.023,0.0,0.0
1.1372,6.1963e-06,0.127,0.000245,0.0202,0.0,0.0
1.1391,5.09696e-06,0.14,0.000343299,0.0171,0.0,0.0
1.1411,5.09696e-06,0.14,0.000464199,0.0147,0.0,0.0
1.143,4.39738e-06,0.1508,0.000631599,0.0126,0.0,0.0
1.145,4.09755e-06,0.1562,0.000850199,0.0108,0.0,0.0
1.1469,2.89827e-06,0.1857,0.0010908,0.0096,0.0,0.0
1.1489,3.19809e-06,0.1768,0.0014496,0.0083,0.0,0.0
1.1508,2.49851e-06,0.2,0.0018902,0.0073,0.0,0.0
1.1528,2.09875e-06,0.2182,0.0023602,0.0065,0.0,0.0
1.1547,2.79833e-06,0.189,0.0029266,0.0058,0.0,0.0
1.1567,2.49851e-06,0.2,0.00355259,0.0053,0.0,0.0
1.1586,1.29922e-06,0.2773,0.00420309,0.0049,0.0,0.0
1.1606,1.79893e-06,0.2357,0.00490139,0.0045,0.0,0.0
1.1625,9.99404e-07,0.3162,0.00556869,0.0042,0.0,0.0
1.1645,1.19928e-06,0.2887,0.00628879,0.004,0.0,0.0
1.1664,9.99404e-07,0.3162,0.00691499,0.0038,0.0,0.0
1.1684,1.29922e-06,0.2773,0.00740599,0.0037,0.0,0.0
1.1703,1.09934e-06,0.3015,0.00781749,0.0036,0.0,0.0
1.1723,1.39917e-06,0.2673,0.00803339,0.0035,0.0,0.0
1.1742,8.99463e-07,0.3333,0.00812639,0.0035,0.0,0.0
1.1762,5.99642e-07,0.4082,0.00804179,0.0035,0.0,0.0
1.1781,7.99523e-07,0.3536,0.00779009,0.0036,0.0,0.0
1.1801,6.99583e-07,0.378,0.00739289,0.0037,0.0,0.0
1.182,1.59905e-06,0.25,0.00685129,0.0038,0.0,0.0
1.184,1.09934e-06,0.3015,0.00626619,0.004,0.0,0.0
1.186,6.99583e-07,0.378,0.00558569,0.0042,0.0,0.0
1.1879,5.99642e-07,0.4082,0.00490509,0.0045,0.0,0.0
1.1899,4.99702e-07,0.4472,0.00416669,0.0049,0.0,0.0
1.1918,5.99642e-07,0.4082,0.00350539,0.0053,0.0,0.0
1.1938,8.99463e-07,0.3333,0.0028657,0.0059,0.0,0.0
1.1957,2.99821e-07,0.5774,0.0023239,0.0066,0.0,0.0
1.1977,2.99821e-07,0.5774,0.0018403,0.0074,0.0,0.0
1.1996,4.99702e-07,0.4472,0.0014028,0.0084,0.0,0.0
1.2016,3.99761e-07,0.5,0.0010529,0.0097,0.0,0.0
1.2035,1.99881e-07,0.7071,0.000789599,0.0112,0.0,0.0
1.2055,1.99881e-07,0.7071,0.000586599,0.0131,0.0,0.0
1.2074,4.99702e-07,0.4472,0.000399699,0.0158,0.0,0.0
1.2094,4.99702e-07,0.4472,0.0002853,0.0187,0.0,0.0
1.2113,7.99523e-07,0.3536,0.0001985,0.0224,0.0,0.0
1.2133,3.99761e-07,0.5,0.0001301,0.0277,0.0,0.0
1.2152,8.99463e-07,0.3333,8.62999e-05,0.034,0.0,0.0
1.2172,9.99404e-07,0.3162,5.91999e-05,0.0411,0.0,0.0
1.2191,2.19869e-06,0.2132,3.61999e-05,0.0526,0.0,0.0
1.2211,2.69839e-06,0.1924,2.53e-05,0.0629,0.0,0.0
1.223,4.79714e-06,0.1443,1.43e-05,0.0836,0.0,0.0
1.225,6.09636e-06,0.128,9.79998e-06,0.101,0.0,0.0
1.2269,1.3392e-05,0.0864,6.29999e-06,0.126,0.0,0.0
1.2289,1.94884e-05,0.0716,3.59999e-06,0.1667,0.0,0.0
1.2309,2.82831e-05,0.0594,3.09999e-06,0.1796,0.0,0.0
1.2328,4.5273e-05,0.047,1.4e-06,0.2673,0.0,0.0
1.2348,6.72599e-05,0.0385,1.3e-06,0.2773,0.0,0.0
1.2367,0.000101739,0.0313,8.99999e-07,0.3333,0.0,0.0
1.2387,0.000159305,0.025,1.8e-06,0.2357,0.0,0.0
1.2406,0.00021727,0.0214,1.1e-06,0.3015,0.0,0.0
1.2426,0.000306917,0.018,9.99998e-07,0.3162,0.0,0.0
1.2445,0.000427445,0.0153,7.99999e-07,0.3536,0.0,0.0
1.2465,0.000593646,0.013,6.99999e-07,0.378,0.0,0.0
1.2484,0.00078843,0.0113,1.2e-06,0.2887,0.0,0.0
1.2504,0.00104538,0.0098,8.99999e-07,0.3333,0.0,0.0
1.2523,0.00136598,0.0085,4.99999e-07,0.4472,0.0,0.0
1.2543,0.00169229,0.0077,3.99999e-07,0.5,0.0,0.0
1.2562,0.00211564,0.0069,6.99999e-07,0.378,0.0,0.0
1.2582,0.00257406,0.0062,3.99999e-07,0.5,0.0,0.0
1.2601,0.00304688,0.0057,4.99999e-07,0.4472,0.0,0.0
1.2621,0.00356867,0.0053,3.99999e-07,0.5,0.0,0.0
1.264,0.00407757,0.0049,8.99999e-07,0.3333,0.0,0.0
1.266,0.00454219,0.0047,3e-07,0.5774,0.0,0.0
1.2679,0.00495155,0.0045,6.99999e-07,0.378,0.0,0.0
1.2699,0.00528724,0.0043,1.1e-06,0.3015,0.0,0.0
1.2718,0.00555598,0.0042,7.99999e-07,0.3536,0.0,0.0
1.2738,0.00568811,0.0042,1.4e-06,0.2673,0.0,0.0
1.2758,0.00575097,0.0042,1.9e-06,0.2294,0.0,0.0
1.2777,0.00567331,0.0042,3.19999e-06,0.1768,0.0,0.0
1.2797,0.00549002,0.0043,4.29999e-06,0.1525,0.0,0.0
1.2816,0.00524847,0.0044,7.59999e-06,0.1147,0.0,0.0
1.2836,0.00481992,0.0045,1.26e-05,0.0891,0.0,0.0
1.2855,0.00439997,0.0048,2.08e-05,0.0693,0.0,0.0
1.2875,0.00391906,0.005,3.07999e-05,0.057,0.0,0.0
1.2894,0.00343555,0.0054,4.68999e-05,0.0462,0.0,0.0
1.2914,0.00292845,0.0058,7.53999e-05,0.0364,0.0,0.0
1.2933,0.00246363,0.0064,0.0001126,0.0298,0.0,0.0
1.2953,0.0020127,0.007,0.0001698,0.0243,0.0,0.0
1.2972,0.00161943,0.0078,0.0002458,0.0202,0.0,0.0
1.2992,0.00130112,0.0088,0.000345699,0.017,0.0,0.0
1.3011,0.000978416,0.0101,0.000480399,0.0144,0.0,0.0
1.3031,0.000740958,0.0116,0.000673999,0.0122,0.0,0.0
1.305,0.000537679,0.0136,0.000912898,0.0105,0.0,0.0
1.307,0.000406457,0.0157,0.0012088,0.0091,0.0,0.0
1.3089,0.000282431,0.0188,0.0016084,0.0079,0.0,0.0
1.3109,0.000193085,0.0227,0.0020668,0.0069,0.0,0.0
1.3128,0.000129223,0.0278,0.0025578,0.0062,0.0,0.0
1.3148,9.17453e-05,0.033,0.00314829,0.0056,0.0,0.0
1.3167,6.38619e-05,0.0396,0.00381519,0.0051,0.0,0.0
1.3187,3.8577e-05,0.0509,0.00449249,0.0047,0.0,0.0
1.3207,2.44854e-05,0.0639,0.00519929,0.0044,0.0,0.0
1.3226,1.29922e-05,0.0877,0.00589799,0.0041,0.0,0.0
1.3246,9.59427e-06,0.1021,0.00651369,0.0039,0.0,0.0
1.3265,5.29684e-06,0.1374,0.00706819,0.0037,0.0,0.0
1.3285,3.09815e-06,0.1796,0.00752679,0.0036,0.0,0.0
1.3304,2.09875e-06,0.2182,0.00783169,0.0036,0.0,0.0
1.3324,4.99702e-07,0.4472,0.00799699,0.0035,0.0,0.0
1.3343,6.99583e-07,0.378,0.00798919,0.0035,0.0,0.0
1.3363,1.99881e-07,0.7071,0.00790449,0.0035,0.0,0.0
1.3382,1.99881e-07,0.7071,0.00759499,0.0036,0.0,0.0
1.3402,0.0,0.0,0.00715139,0.0037,0.0,0.0
1.3421,1.99881e-07,0.7071,0.00656809,0.0039,0.0,0.0
1.3441,0.0,0.0,0.00598279,0.0041,0.0,0.0
1.346,9.99404e-08,1.0,0.00526149,0.0043,0.0,0.0
1.348,0.0,0.0,0.00458529,0.0047,0.0,0.0
1.3499,0.0,0.0,0.00386229,0.0051,0.0,0.0
1.3519,0.0,0.0,0.00325729,0.0055,0.0,0.0
1.3538,0.0,0.0,0.0026514,0.0061,0.0,0.0
1.3558,0.0,0.0,0.002115,0.0069,0.0,0.0
1.3577,0.0,0.0,0.0016675,0.0077,0.0,0.0
1.3597,0.0,0.0,0.0012603,0.0089,0.0,0.0
1.3616,0.0,0.0,0.000952398,0.0102,0.0,0.0
1.3636,0.0,0.0,0.000694799,0.012,0.0,0.0
1.3656,0.0,0.0,0.000515799,0.0139,0.0,0.0
1.3675,0.0,0.0,0.000357699,0.0167,0.0,0.0
1.3695,0.0,0.0,0.0002456,0.0202,0.0,0.0
1.3714,0.0,0.0,0.000163,0.0248,0.0,0.0
1.3734,0.0,0.0,0.0001155,0.0294,0.0,0.0
1.3753,0.0,0.0,7.39999e-05,0.0368,0.0,0.0
1.3773,0.0,0.0,4.94999e-05,0.0449,0.0,0.0
1.3792,0.0,0.0,3.12999e-05,0.0565,0.0,0.0
1.3812,0.0,0.0,1.64e-05,0.0781,0.0,0.0
1.3831,0.0,0.0,1.19e-05,0.0917,0.0,0.0
1.3851,0.0,0.0,6.39999e-06,0.125,0.0,0.0
1.387,0.0,0.0,3.29999e-06,0.1741,0.0,0.0
1.389,0.0,0.0,1.9e-06,0.2294,0.0,0.0
1.3909,0.0,0.0,6.99999e-07,0.378,0.0,0.0
1.3929,0.0,0.0,5.99999e-07,0.4082,0.0,0.0
1.3948,0.0,0.0,4.99999e-07,0.4472,0.0,0.0
1.3968,0.0,0.0,2e-07,0.7071,0.0,0.0
1.3987,0.0,0.0,0.0,0.0,0.0,0.0
1.4007,0.0,0.0,3e-07,0.5774,0.0,0.0
1.4026,0.0,0.0,0.0,0.0,0.0,0.0
1.4046,0.0,0.0,0.0,0.0,0.0,0.0
1.4065,0.0,0.0,0.0,0.0,0.0,0.0
1.4085,0.0,0.0,0.0,0.0,0.0,0.0
1.4105,0.0,0.0,0.0,0.0,0.0,0.0
1.4124,0.0,0.0,0.0,0.0,0.0,0.0
1.4144,0.0,0.0,0.0,0.0,0.0,0.0
1.4163,0.0,0.0,0.0,0.0,0.0,0.0
1.4183,0.0,0.0,0.0,0.0,0.0,0.0
1.4202,0.0,0.0,0.0,0.0,0.0,0.0
1.4222,0.0,0.0,0.0,0.0,0.0,0.0
1.4241,0.0,0.0,0.0,0.0,0.0,0.0
1.4261,0.0,0.0,0.0,0.0,0.0,0.0
1.428,0.0,0.0,0.0,0.0,0.0,0.0
1.43,0.0,0.0,0.0,0.0,0.0,0.0
1.4319,0.0,0.0,0.0,0.0,0.0,0.0
1.4339,0.0,0.0,0.0,0.0,0.0,0.0
1.4358,0.0,0.0,0.0,0.0,0.0,0.0
1.4378,0.0,0.0,0.0,0.0,0.0,0.0
1.4397,0.0,0.0,0.0,0.0,0.0,0.0
1.4417,0.0,0.0,0.0,0.0,0.0,0.0
1.4436,0.0,0.0,0.0,0.0,0.0,0.0
1.4456,0.0,0.0,0.0,0.0,0.0,0.0
