Energy (MeV),Na-22 Counts,Na-22 Relative Error,Co-60 Counts,Co-60 Relative Error,Cs-137 Counts,Cs-137 Relative Error
0.20402,9.36441e-05,0.0327,5.89999e-06,0.1302,4.78e-05,0.0457
0.20598,9.13455e-05,0.0331,4.59999e-06,0.1474,5.05e-05,0.0445
0.20793,9.33443e-05,0.0327,5.89999e-06,0.1302,4.76e-05,0.0458
0.20988,9.17453e-05,0.033,5.19999e-06,0.1387,4.88e-05,0.0453
0.21183,9.79416e-05,0.0319,4.99999e-06,0.1414,5.21e-05,0.0438
0.21378,9.61426e-05,0.0322,4.09999e-06,0.1562,5.08e-05,0.0444
0.21574,9.68422e-05,0.0321,4.49999e-06,0.1491,5.07e-05,0.0444
0.21769,9.96405e-05,0.0317,5.09999e-06,0.14,5.05e-05,0.0445
0.21964,0.000106436,0.0306,5.99999e-06,0.1291,5.62e-05,0.0422
0.22159,0.000105437,0.0308,5.39999e-06,0.1361,5.72e-05,0.0418
0.22354,0.000106936,0.0306,5.79999e-06,0.1313,5.53e-05,0.0425
0.2255,0.000113332,0.0297,5.09999e-06,0.14,6.03e-05,0.0407
0.22745,0.000111933,0.0299,6.79999e-06,0.1213,5.87e-05,0.0413
0.2294,0.000112933,0.0297,3.99999e-06,0.1581,5.97e-05,0.0409
0.23135,0.000113432,0.0297,4.79999e-06,0.1443,6.21e-05,0.0401
0.23331,0.000113832,0.0296,4.79999e-06,0.1443,6.45e-05,0.0394
0.23526,0.000120528,0.0288,5.79999e-06,0.1313,6.47e-05,0.0393
0.23721,0.00011753,0.0292,5.19999e-06,0.1387,6.59e-05,0.039
0.23916,0.000123726,0.0284,5.49999e-06,0.1348,6.62e-05,0.0389
0.24111,0.000120228,0.0288,5.39999e-06,0.1361,6.42e-05,0.0395
0.24307,0.000128423,0.0279,4.99999e-06,0.1414,6.94e-05,0.038
0.24502,0.000133221,0.0274,4.89999e-06,0.1429,6.97e-05,0.0379
0.24697,0.00013432,0.0273,4.99999e-06,0.1414,7.03e-05,0.0377
0.24892,0.000140516,0.0267,4.99999e-06,0.1414,6.53e-05,0.0391
0.25087,0.000136818,0.027,5.39999e-06,0.1361,6.85e-05,0.0382
0.25283,0.000140616,0.0267,4.99999e-06,0.1414,7.13e-05,0.0374
0.25478,0.000142815,0.0265,4.79999e-06,0.1443,7.27e-05,0.0371
0.25673,0.000145513,0.0262,6.69999e-06,0.1222,7.92e-05,0.0355
0.25868,0.000142215,0.0265,4.69999e-06,0.1459,7.66e-05,0.0361
0.26064,0.000143314,0.0264,5.09999e-06,0.14,7.76e-05,0.0359
0.26259,0.000154408,0.0254,6.39999e-06,0.125,7.61e-05,0.0362
0.26454,0.000162703,0.0248,4.39999e-06,0.1508,7.51e-05,0.0365
0.26649,0.000154308,0.0254,6.29999e-06,0.126,8.42e-05,0.0345
0.26844,0.000161803,0.0249,5.69999e-06,0.1325,7.7e-05,0.036
0.2704,0.0001679,0.0244,5.89999e-06,0.1302,8.46e-05,0.0344
0.27235,0.000164102,0.0247,5.89999e-06,0.1302,8.27e-05,0.0348
0.2743,0.0001668,0.0245,6.79999e-06,0.1213,8.34e-05,0.0346
0.27625,0.000164202,0.0247,5.09999e-06,0.14,8.93e-05,0.0335
0.27821,0.000170898,0.0242,7.09999e-06,0.1187,9.3e-05,0.0328
0.28016,0.000176794,0.0238,6.49999e-06,0.124,9.02e-05,0.0333
0.28211,0.000181292,0.0235,6.29999e-06,0.126,8.65e-05,0.034
0.28406,0.00018409,0.0233,5.49999e-06,0.1348,9.09e-05,0.0332
0.28601,0.000194784,0.0226,5.79999e-06,0.1313,9.7e-05,0.0321
0.28797,0.000193185,0.0227,5.69999e-06,0.1325,9.6e-05,0.0323
0.28992,0.000202179,0.0222,5.19999e-06,0.1387,9.66e-05,0.0322
0.29187,0.000196383,0.0226,5.39999e-06,0.1361,9.14e-05,0.0331
0.29382,0.00020168,0.0223,5.79999e-06,0.1313,9.82e-05,0.0319
0.29577,0.000212773,0.0217,6.89999e-06,0.1204,9.82e-05,0.0319
0.29773,0.000214772,0.0216,5.69999e-06,0.1325,0.000103,0.0312
0.29968,0.000210474,0.0218,5.19999e-06,0.1387,9.59e-05,0.0323
0.30163,0.000215971,0.0215,5.09999e-06,0.14,0.0001053,0.0308
0.30358,0.000226665,0.021,5.99999e-06,0.1291,0.0001057,0.0308
0.30554,0.000225166,0.0211,6.49999e-06,0.124,0.0001076,0.0305
0.30749,0.000227164,0.021,6.79999e-06,0.1213,0.0001081,0.0304
0.30944,0.000231462,0.0208,5.79999e-06,0.1313,0.0001108,0.03
0.31139,0.000239857,0.0204,6.89999e-06,0.1204,0.0001111,0.03
0.31334,0.000243155,0.0203,7.09999e-06,0.1187,0.0001158,0.0294
0.3153,0.000247252,0.0201,7.59999e-06,0.1147,0.0001156,0.0294
0.31725,0.000245454,0.0202,6.99999e-06,0.1195,0.0001158,0.0294
0.3192,0.000241056,0.0204,6.39999e-06,0.125,0.0001181,0.0291
0.32115,0.000250151,0.02,7.29999e-06,0.117,0.0001222,0.0286
0.3231,0.000258446,0.0197,6.89999e-06,0.1204,0.0001228,0.0285
0.32506,0.000252549,0.0199,6.09999e-06,0.128,0.0001305,0.0277
0.32701,0.000245354,0.0202,6.89999e-06,0.1204,0.0001258,0.0282
0.32896,0.00025145,0.0199,8.59999e-06,0.1078,0.0001292,0.0278
0.33091,0.000241256,0.0204,7.09999e-06,0.1187,0.0001221,0.0286
0.33287,0.000230662,0.0208,7.29999e-06,0.117,0.0001296,0.0278
0.33482,0.000220568,0.0213,7.19999e-06,0.1179,0.0001352,0.0272
0.33677,0.000211074,0.0218,7.99999e-06,0.1118,0.0001309,0.0276
0.33872,0.000199381,0.0224,9.39998e-06,0.1031,0.0001375,0.027
0.34067,0.000183291,0.0233,7.09999e-06,0.1187,0.000138,0.0269
0.34263,0.00018389,0.0233,7.99999e-06,0.1118,0.0001399,0.0267
0.34458,0.000161304,0.0249,7.49999e-06,0.1155,0.0001455,0.0262
0.34653,0.00015131,0.0257,9.49998e-06,0.1026,0.0001436,0.0264
0.34848,0.000142715,0.0265,8.49999e-06,0.1085,0.0001508,0.0257
0.35043,0.000120528,0.0288,7.69999e-06,0.114,0.0001425,0.0265
0.35239,0.000115831,0.0294,9.69998e-06,0.1015,0.0001504,0.0258
0.35434,0.00010124,0.0314,9.09999e-06,0.1048,0.0001459,0.0262
0.35629,8.98464e-05,0.0334,7.39999e-06,0.1162,0.0001586,0.0251
0.35824,7.82533e-05,0.0357,8.39999e-06,0.1091,0.0001545,0.0254
0.3602,6.8659e-05,0.0382,1.04e-05,0.0981,0.0001624,0.0248
0.36215,6.21629e-05,0.0401,1.04e-05,0.0981,0.000161,0.0249
0.3641,5.80653e-05,0.0415,8.39999e-06,0.1091,0.0001678,0.0244
0.36605,4.73717e-05,0.0459,9.39998e-06,0.1031,0.0001685,0.0244
0.368,4.49732e-05,0.0471,8.09999e-06,0.1111,0.0001668,0.0245
0.36996,4.31742e-05,0.0481,1.1e-05,0.0953,0.0001664,0.0245
0.37191,4.21748e-05,0.0487,8.99999e-06,0.1054,0.0001739,0.024
0.37386,3.25806e-05,0.0554,7.19999e-06,0.1179,0.0001776,0.0237
0.37581,3.1881e-05,0.056,1.02e-05,0.099,0.0001834,0.0233
0.37776,2.90826e-05,0.0586,1.09e-05,0.0958,0.000179,0.0236
0.37972,2.58846e-05,0.0621,8.79999e-06,0.1066,0.000178,0.0237
0.38167,2.24866e-05,0.0667,9.09999e-06,0.1048,0.0001895,0.023
0.38362,1.96883e-05,0.0712,1.01e-05,0.0995,0.0001816,0.0235
0.38557,1.8389e-05,0.0737,1.17e-05,0.0924,0.0001984,0.0224
0.38753,1.64902e-05,0.0778,1.07e-05,0.0967,0.0002021,0.0222
0.38948,1.41915e-05,0.0839,9.69998e-06,0.1015,0.0002017,0.0223
0.39143,1.68899e-05,0.0769,9.39998e-06,0.1031,0.0002007,0.0223
0.39338,1.42915e-05,0.0836,1.13e-05,0.0941,0.0002058,0.022
0.39533,1.26924e-05,0.0887,1.2e-05,0.0913,0.0002141,0.0216
0.39729,1.11933e-05,0.0945,1.11e-05,0.0949,0.0002118,0.0217
0.39924,1.07936e-05,0.0962,1.12e-05,0.0945,0.0002045,0.0221
0.40119,8.49493e-06,0.1085,1.23e-05,0.0902,0.0002056,0.0221
0.40314,9.49433e-06,0.1026,1.21e-05,0.0909,0.0002143,0.0216
0.40509,8.99463e-06,0.1054,1.1e-05,0.0953,0.0002222,0.0212
0.40705,7.99523e-06,0.1118,1.26e-05,0.0891,0.0002326,0.0207
0.409,7.09577e-06,0.1187,1.08e-05,0.0962,0.0002408,0.0204
0.41095,7.79535e-06,0.1132,1.17e-05,0.0924,0.0002289,0.0209
0.4129,7.39559e-06,0.1162,9.29998e-06,0.1037,0.000249,0.02
0.41486,5.99642e-06,0.1291,1.22e-05,0.0905,0.0002397,0.0204
0.41681,7.79535e-06,0.1132,1.16e-05,0.0928,0.0002569,0.0197
0.41876,6.29624e-06,0.126,1.35e-05,0.0861,0.0002449,0.0202
0.42071,5.49672e-06,0.1348,1.15e-05,0.0932,0.0002622,0.0195
0.42266,7.59547e-06,0.1147,1.26e-05,0.0891,0.0002639,0.0195
0.42462,4.39738e-06,0.1508,1.26e-05,0.0891,0.0002747,0.0191
0.42657,5.29684e-06,0.1374,1.08e-05,0.0962,0.0002726,0.0192
0.42852,6.89588e-06,0.1204,1.39e-05,0.0848,0.0002719,0.0192
0.43047,5.1969e-06,0.1387,1.19e-05,0.0917,0.0002789,0.0189
0.43242,5.29684e-06,0.1374,1.2e-05,0.0913,0.0002833,0.0188
0.43438,5.79654e-06,0.1313,1.31e-05,0.0874,0.0002862,0.0187
0.43633,5.59666e-06,0.1336,1.26e-05,0.0891,0.0002977,0.0183
0.43828,5.1969e-06,0.1387,1.27e-05,0.0887,0.0002891,0.0186
0.44023,6.49612e-06,0.124,1.42e-05,0.0839,0.0003062,0.0181
0.44219,6.59606e-06,0.1231,1.41e-05,0.0842,0.0003006,0.0182
0.44414,6.89588e-06,0.1204,1.51e-05,0.0814,0.0003153,0.0178
0.44609,4.49732e-06,0.1491,1.58e-05,0.0796,0.0003113,0.0179
0.44804,5.29684e-06,0.1374,1.56e-05,0.0801,0.0003123,0.0179
0.44999,5.89648e-06,0.1302,1.37e-05,0.0854,0.0003252,0.0175
0.45195,6.39618e-06,0.125,1.44e-05,0.0833,0.0003248,0.0175
0.4539,7.59547e-06,0.1147,1.57e-05,0.0798,0.0003234,0.0176
0.45585,7.79535e-06,0.1132,1.39e-05,0.0848,0.0003242,0.0176
0.4578,1.02939e-05,0.0985,1.51e-05,0.0814,0.0003277,0.0175
0.45975,1.45913e-05,0.0828,1.51e-05,0.0814,0.0003239,0.0176
0.46171,1.68899e-05,0.0769,1.71e-05,0.0765,0.00031,0.018
0.46366,2.36859e-05,0.065,1.9e-05,0.0725,0.0003257,0.0175
0.46561,3.29803e-05,0.055,1.63e-05,0.0783,0.0003164,0.0178
0.46756,5.15692e-05,0.044,1.62e-05,0.0786,0.0003235,0.0176
0.46952,7.72539e-05,0.036,1.48e-05,0.0822,0.0003021,0.0182
0.47147,0.000113932,0.0296,1.61e-05,0.0788,0.0002915,0.0185
0.47342,0.000173496,0.024,1.79e-05,0.0747,0.0002683,0.0193
0.47537,0.000254048,0.0198,1.94e-05,0.0718,0.000261,0.0196
0.47732,0.000359885,0.0167,1.78e-05,0.075,0.0002402,0.0204
0.47928,0.000523987,0.0138,1.94e-05,0.0718,0.0002272,0.021
0.48123,0.00072037,0.0118,1.76e-05,0.0754,0.0002138,0.0216
0.48318,0.0010024,0.01,1.71e-05,0.0765,0.0001989,0.0224
0.48513,0.00137658,0.0085,1.66e-05,0.0776,0.0001812,0.0235
0.48708,0.0018475,0.0073,1.72e-05,0.0762,0.0001643,0.0247
0.48904,0.00238328,0.0065,1.87e-05,0.0731,0.0001567,0.0253
0.49099,0.00309605,0.0057,1.8e-05,0.0745,0.0001427,0.0265
0.49294,0.00384051,0.0051,1.81e-05,0.0743,0.0001228,0.0285
0.49489,0.00475236,0.0046,1.77e-05,0.0752,0.0001145,0.0296
0.49685,0.00565113,0.0042,1.89e-05,0.0727,0.0001008,0.0315
0.4988,0.00661945,0.0039,1.71e-05,0.0765,9.15e-05,0.0331
0.50075,0.00762115,0.0036,1.84e-05,0.0737,7.96e-05,0.0354
0.5027,0.0085449,0.0034,1.81e-05,0.0743,7.55e-05,0.0364
0.50465,0.00941628,0.0032,1.92e-05,0.0722,6.94e-05,0.038
0.50661,0.010194,0.0031,1.7e-05,0.0767,6.6e-05,0.0389
0.50856,0.0106509,0.003,1.97e-05,0.0712,5.89e-05,0.0412
0.51051,0.0109732,0.003,2.28e-05,0.0662,5.25e-05,0.0436
0.51246,0.0109545,0.003,1.81e-05,0.0743,4.86e-05,0.0454
0.51442,0.0107954,0.003,2.15e-05,0.0682,4.49e-05,0.0472
0.51637,0.0103449,0.0031,1.77e-05,0.0752,4.2e-05,0.0488
0.51832,0.00972869,0.0032,1.95e-05,0.0716,3.87e-05,0.0508
0.52027,0.0090425,0.0033,2.31e-05,0.0658,3.4e-05,0.0542
0.52222,0.00809147,0.0035,1.97e-05,0.0712,3.24e-05,0.0556
0.52418,0.00715983,0.0037,2.3e-05,0.0659,2.72e-05,0.0606
0.52613,0.0061933,0.004,2.32e-05,0.0657,2.83e-05,0.0594
0.52808,0.00515892,0.0044,2.07e-05,0.0695,2.2e-05,0.0674
0.53003,0.00424297,0.0048,2.33e-05,0.0655,2.27e-05,0.0664
0.53198,0.00341646,0.0054,2.27e-05,0.0664,1.92e-05,0.0722
0.53394,0.00271888,0.0061,2.35e-05,0.0652,1.92e-05,0.0722
0.53589,0.00211154,0.0069,2.17e-05,0.0679,1.47e-05,0.0825
0.53784,0.00158365,0.0079,2.29e-05,0.0661,1.4e-05,0.0845
0.53979,0.00115241,0.0093,2.34e-05,0.0654,1.29e-05,0.088
0.54175,0.000844496,0.0109,2.23e-05,0.067,1.17e-05,0.0924
0.5437,0.000622129,0.0127,2.43e-05,0.0641,1.05e-05,0.0976
0.54565,0.000424247,0.0153,2.33e-05,0.0655,9.4e-06,0.1031
0.5476,0.000291326,0.0185,2.73e-05,0.0605,8.3e-06,0.1098
0.54955,0.000190786,0.0229,2.54e-05,0.0627,8.2e-06,0.1104
0.55151,0.000120028,0.0289,2.71e-05,0.0607,5.9e-06,0.1302
0.55346,8.02521e-05,0.0353,2.54e-05,0.0627,6e-06,0.1291
0.55541,5.50671e-05,0.0426,2.46e-05,0.0638,4.7e-06,0.1459
0.55736,3.54788e-05,0.0531,2.68e-05,0.0611,4.8e-06,0.1443
0.55931,2.49851e-05,0.0632,2.59e-05,0.0621,4.1e-06,0.1562
0.56127,1.86888e-05,0.0731,2.62e-05,0.0618,3.6e-06,0.1667
0.56322,1.32921e-05,0.0867,2.75e-05,0.0603,3.1e-06,0.1796
0.56517,1.0094e-05,0.0995,2.48e-05,0.0635,3.3e-06,0.1741
0.56712,9.09457e-06,0.1048,2.58e-05,0.0623,3.4e-06,0.1715
0.56908,8.99463e-06,0.1054,2.71e-05,0.0607,2.2e-06,0.2132
0.57103,8.69481e-06,0.1072,2.61e-05,0.0619,1.8e-06,0.2357
0.57298,9.29445e-06,0.1037,2.78e-05,0.06,2.3e-06,0.2085
0.57493,8.79475e-06,0.1066,2.61e-05,0.0619,2.2e-06,0.2132
0.57688,7.79535e-06,0.1132,2.77e-05,0.0601,1.6e-06,0.25
0.57884,8.59487e-06,0.1078,3.13999e-05,0.0564,1.1e-06,0.3015
0.58079,7.79535e-06,0.1132,2.8e-05,0.0598,1.6e-06,0.25
0.58274,9.29445e-06,0.1037,2.89e-05,0.0588,1.3e-06,0.2773
0.58469,7.99523e-06,0.1118,2.85e-05,0.0592,1.5e-06,0.2582
0.58664,8.69481e-06,0.1072,2.85e-05,0.0592,1.8e-06,0.2357
0.5886,9.79416e-06,0.101,3.21999e-05,0.0557,1.1e-06,0.3015
0.59055,7.99523e-06,0.1118,3.14999e-05,0.0563,8e-07,0.3536
0.5925,9.69421e-06,0.1015,3.21999e-05,0.0557,1.6e-06,0.25
0.59445,9.99404e-06,0.1,3.24999e-05,0.0555,1.7e-06,0.2425
0.59641,8.99463e-06,0.1054,3.02e-05,0.0575,1.5e-06,0.2582
0.59836,9.99404e-06,0.1,3.25999e-05,0.0554,1e-06,0.3162
