Energy (MeV),Co60 Counts,Co60 Normalized,Cs137 Counts,Cs137 Normalized,Na22 Counts,Na22 Normalized
0.0,0.102932,1.0,0.0798888,1.0,0.0874171,1.0
0.001,0.00669249,0.06501855593984378,0.00522303,0.06537875146453571,0.00570642,0.06527807488466215
0.0029541,0.0129118,0.12544009637430537,0.0101215,0.126694855849631,0.0110252,0.12612177708937955
0.0049081,0.0124547,0.12099930050907397,0.00978483,0.12248062306606183,0.0106405,0.12172103627322345
0.0068622,0.0116884,0.11355457972253527,0.00924028,0.11566427333994253,0.010026,0.11469151916501463
0.0088162,0.0107122,0.10407064858353088,0.00853552,0.10684251109041568,0.00920643,0.10531612236049927
0.01077,0.00959257,0.09319327322892784,0.00769637,0.09633853556443457,0.00826778,0.0945785206784485
0.012724,0.00835987,0.0812174056658765,0.00681094,0.08525525480417781,0.00724336,0.082859760847706
0.014678,0.00710046,0.06898204639956476,0.00587784,0.07357526962477844,0.00618333,0.0707336436463804
0.016632,0.00589034,0.057225546963043564,0.00501768,0.06280830354192328,0.00518223,0.05928165084405683
0.018587,0.0047747,0.046386935063925695,0.00421607,0.052774231181342064,0.00423661,0.048464316478126136
0.020541,0.00379647,0.03688328216686745,0.00353265,0.04421959023042029,0.00341799,0.0390997871125901
0.022495,0.00294084,0.02857070687444138,0.00293048,0.03668198796326895,0.00269494,0.030828522108374678
0.024449,0.00223295,0.021693448101659348,0.00244719,0.030632454111214593,0.00210379,0.024066115210868353
0.026403,0.00167182,0.016241984999805698,0.00207434,0.02596534182513694,0.0016238,0.018575313068038175
0.028357,0.00122099,0.011862103136050985,0.00176556,0.02210021930483372,0.00124464,0.014237946580245742
0.030311,0.000884481,0.008592867135584659,0.00154134,0.019293568059602847,0.000963395,0.011020669868938687
0.032265,0.000641691,0.006234125442039405,0.00137874,0.01725823895214348,0.000762719,0.008725054937763894
0.034219,0.000472508,0.004590486923405744,0.00124971,0.015643118935320097,0.000616298,0.0070500851664033705
0.036173,0.000350861,0.0034086678583919484,0.00113533,0.014211378816555011,0.00051488,0.0058899231386078926
0.038127,0.00026953,0.002618524851358178,0.00105146,0.013161544546920218,0.000450664,0.005155330021242984
0.040081,0.000219176,0.0021293281001049237,0.00096686,0.012102572575880476,0.000401281,0.0045904176642785
0.042035,0.00018606,0.0018076011347297244,0.00088543,0.011083280760256758,0.00037328,0.004270102760215107
0.043989,0.000165871,0.001611461936035441,0.00081298,0.010176395189313146,0.000354509,0.004055373605392995
0.045943,0.000149734,0.0014546885322348736,0.00074311,0.00930180450826649,0.000345124,0.003948014747686666
0.047897,0.000144499,0.0014038297128201142,0.00067569,0.00845788145522276,0.000335975,0.003843355590610991
0.049851,0.000142432,0.0013837484941514788,0.00061012,0.007637115590671034,0.000333467,0.003814665551705559
0.051805,0.000135254,0.0013140131348851668,0.0005498,0.006882066071839858,0.000328492,0.0037577544896822248
0.05376,0.000135809,0.001319405044106789,0.00049723,0.006224026396691401,0.000329664,0.003771161477559883
0.055714,0.000132785,0.001290026425212762,0.00045098,0.0056450966843913045,0.000327927,0.003751291223341886
0.057668,0.000135665,0.0013180060622546925,0.00040776,0.005104094691621354,0.000322725,0.003691783415372965
0.059622,0.000134266,0.0013044145649555045,0.00038154,0.004775888484994142,0.000320176,0.0036626243606800043
0.061576,0.000135192,0.0013134107954766252,0.00035754,0.004475470904557335,0.000323691,0.0037028338849035254
0.06353,0.000132425,0.0012865289705825207,0.00033705,0.0042189893952594105,0.000321399,0.0036766147584397103
0.065484,0.000133526,0.0012972253526600086,0.00032364,0.004051131072190344,0.000318716,0.0036459228228801913
